date,open,high,low,close,volume,quote_volume,taker_buy_quote_volume
2026-07-08 19:00:00,66.789,67.365,66.627,67.336,217238.33,14559381.75208,7379732.63497
2026-07-08 20:00:00,67.338,67.45,66.805,66.923,130793.24,8782266.23268,4026028.29234
2026-07-08 21:00:00,66.923,67.082,66.162,67.073,320803.34,21333120.20835,9489133.90465
2026-07-08 22:00:00,67.07,67.295,66.889,67.176,174979.17,11744248.69216,6047777.37321
2026-07-08 23:00:00,67.177,67.692,67.025,67.602,205183.48,13835067.91296,8303649.74903
2026-07-09 00:00:00,67.602,67.859,67.206,67.792,203347.34,13743050.95507,7872270.97604
2026-07-09 01:00:00,67.792,68.364,67.176,67.257,395492.84,26839832.46212,13943456.66496
2026-07-09 02:00:00,67.256,67.545,66.982,67.072,180557.3,12142568.25082,5544659.77974
2026-07-09 03:00:00,67.072,67.434,66.994,67.154,164605.93,11061143.28242,5732643.50906
2026-07-09 04:00:00,67.153,67.864,67.039,67.834,142527.97,9621764.31681,5423804.09383
2026-07-09 05:00:00,67.832,68.106,67.322,67.996,216637.63,14681495.06832,7754125.90553
2026-07-09 06:00:00,67.996,68.281,67.71,68.165,220290.72,14996278.61453,7162089.55793
2026-07-09 07:00:00,68.165,68.43,67.692,68.071,230236.86,15658291.2323,8047465.06089
2026-07-09 08:00:00,68.071,68.418,67.904,68.032,211696.59,14434070.26466,7618556.54153
2026-07-09 09:00:00,68.03,68.12,67.538,67.861,247524.37,16788074.033,7126155.56348
2026-07-09 10:00:00,67.861,68.017,67.228,67.482,301554.14,20379382.41776,8729373.53553
2026-07-09 11:00:00,67.483,67.535,67.028,67.47,263478.53,17724170.9411,8239512.7691
2026-07-09 12:00:00,67.47,67.641,67.075,67.231,247063.67,16631134.1113,8027725.39565
2026-07-09 13:00:00,67.229,68.066,67.193,67.978,323467.39,21887869.13458,12069685.75539
2026-07-09 14:00:00,67.979,68.139,67.277,68.062,451006.35,30566541.62799,17150930.41014
2026-07-09 15:00:00,68.063,68.748,67.415,67.458,652982.4,44472242.109,22034209.49339
2026-07-09 16:00:00,67.458,68.034,67.1,67.207,289162.71,19521278.57343,9532512.22326
2026-07-09 17:00:00,67.207,67.455,66.968,67.238,207554.58,13951499.33537,6449411.52531
2026-07-09 18:00:00,67.238,68.0,67.194,67.245,428728.06,28988475.85287,16074953.32673
2026-07-09 19:00:00,67.245,67.275,66.61,66.946,352479.54,23606000.78572,11447585.75478
2026-07-09 20:00:00,66.946,67.406,66.913,67.314,141333.23,9497482.71877,4788648.13523
2026-07-09 21:00:00,67.315,67.44,67.193,67.351,92222.12,6209744.59869,2982529.82578
2026-07-09 22:00:00,67.351,67.419,67.052,67.21,137066.59,9208205.56322,4569325.75476
2026-07-09 23:00:00,67.21,67.317,66.91,67.106,112201.39,7528885.63656,3757778.78123
2026-07-10 00:00:00,67.106,67.303,66.822,67.235,165462.84,11096300.81421,5799370.32854
2026-07-10 01:00:00,67.235,68.137,67.033,67.868,339575.09,23005687.29513,12907454.17542
2026-07-10 02:00:00,67.868,68.375,67.842,68.34,224241.2,15273746.6226,8486827.68808
2026-07-10 03:00:00,68.34,68.465,68.037,68.45,197051.13,13452797.98063,5896260.48919
2026-07-10 04:00:00,68.45,68.536,68.105,68.247,212085.2,14494339.32924,6250494.41564
2026-07-10 05:00:00,68.246,68.274,68.0,68.145,148635.81,10129701.25704,4459716.62358
2026-07-10 06:00:00,68.145,68.147,67.704,68.039,205072.09,13921277.2008,7992786.04432
2026-07-10 07:00:00,68.039,68.356,67.87,68.283,186239.51,12687614.21237,6403092.706
2026-07-10 08:00:00,68.284,69.078,68.219,68.642,467229.83,32089300.2726,15156482.36236
2026-07-10 09:00:00,68.641,69.286,68.473,69.038,467101.92,32216044.88113,20274508.95138
2026-07-10 10:00:00,69.038,69.373,68.8,68.81,311984.81,21547797.73324,10916521.26332
2026-07-10 11:00:00,68.81,69.248,68.701,68.843,270710.61,18668387.74801,9480089.98823
2026-07-10 12:00:00,68.844,68.963,68.26,68.376,380109.99,26055639.86456,11699772.75255
2026-07-10 13:00:00,68.377,69.012,68.301,68.373,336223.97,23080872.04937,11978427.81841
2026-07-10 14:00:00,68.373,68.473,67.196,67.325,708496.36,47966988.17971,19628783.04078
2026-07-10 15:00:00,67.323,67.754,67.192,67.48,263430.43,17783696.15671,9034058.71567
2026-07-10 16:00:00,67.481,67.979,67.355,67.859,280928.53,19022161.15996,10482056.6915
2026-07-10 17:00:00,67.858,67.898,67.412,67.569,152487.45,10310438.07975,5213878.87012
